tick,annotation_3,importations,seq_count
0,B.1.1.7,1,1252.0
20,B.1.1.7,1,1.0
26,B.1.1.7,1,763.0
29,B.1.1.7,1,2.0
42,B.1.1.7,1,3.0
49,B.1.1.7,1,1.0
50,B.1.1.7,1,1.0
52,B.1.1.7,1,1.0
55,B.1.1.7,1,1.0
60,B.1.1.7,1,131.0
61,B.1.1.7,1,1.0
62,B.1.1.7,1,21.0
64,B.1.1.7,1,47.0
65,B.1.1.7,2,4.0
68,B.1.1.7,1,3.0
72,B.1.1.7,1,1.0
74,B.1.1.7,2,22.0
77,B.1.1.7,1,1.0
78,B.1.1.7,4,95.0
80,B.1.1.7,1,1.0
81,B.1.1.7,4,9.0
83,B.1.1.7,3,9.0
84,B.1.1.7,4,33.0
85,B.1.1.7,2,2.0
86,B.1.1.7,3,26.0
87,B.1.1.7,3,25.0
88,B.1.1.7,2,4.0
89,B.1.1.7,5,56.0
90,B.1.1.7,2,9.0
91,B.1.1.7,3,11.0
92,B.1.1.7,3,36.0
93,B.1.1.7,5,13.0
94,B.1.1.7,2,29.0
95,B.1.1.7,3,17.0
96,B.1.1.7,2,21.0
97,B.1.1.7,7,37.0
98,B.1.1.7,5,12.0
99,B.1.1.7,5,31.0
100,B.1.1.7,3,7.0
102,B.1.1.7,6,15.0
103,B.1.1.7,1,1.0
104,B.1.1.7,5,40.0
105,B.1.1.7,4,7.0
106,B.1.1.7,6,18.0
107,B.1.1.7,3,3.0
108,B.1.1.7,2,12.0
109,B.1.1.7,6,32.0
110,B.1.1.7,7,37.0
111,B.1.1.7,9,13.0
112,B.1.1.7,14,38.0
113,B.1.1.7,8,9.0
114,B.1.1.7,4,10.0
115,B.1.1.7,2,2.0
116,B.1.1.7,6,13.0
117,B.1.1.7,5,9.0
118,B.1.1.7,7,8.0
119,B.1.1.7,6,7.0
120,B.1.1.7,6,8.0
120,B.1.617.2,1,19.0
121,B.1.1.7,6,15.0
122,B.1.1.7,7,35.0
123,B.1.1.7,11,25.0
124,B.1.1.7,7,13.0
125,B.1.1.7,7,36.0
126,B.1.1.7,16,17.0
127,B.1.1.7,10,15.0
128,B.1.1.7,5,7.0
128,B.1.617.2,2,19.0
129,B.1.1.7,4,18.0
130,B.1.1.7,11,19.0
131,B.1.1.7,11,23.0
131,B.1.617.2,1,8.0
132,B.1.1.7,8,6.0
132,B.1.617.2,1,1.0
133,B.1.1.7,9,21.0
