tick,count
40,1
43,1
44,1
47,1
57,1
58,1
60,2
64,1
65,1
67,1
73,2
78,1
79,2
85,1
86,2
87,1
89,1
92,1
93,3
94,2
98,6
99,1
100,2
102,6
103,1
104,1
105,7
106,8
107,4
108,2
109,7
110,5
111,2
112,9
113,6
114,2
115,4
116,5
117,2
118,2
119,4
120,5
121,6
122,6
123,13
124,3
125,1
126,13
127,7
128,10
129,5
130,9
131,7
132,2
133,7
134,13
135,13
136,10
137,7
138,12
139,2
140,10
141,20
142,4
143,13
144,8
145,5
147,11
148,7
149,13
150,10
151,5
152,5
153,1
154,19
155,9
156,7
157,8
158,7
159,2
160,1
161,8
162,8
163,11
164,8
165,5
166,5
167,2
168,4
169,8
170,5
171,8
172,3
174,2
175,6
176,4
177,3
178,1
179,4
180,2
181,3
182,1
183,3
184,3
185,4
186,4
188,1
189,1
190,3
191,7
192,2
193,5
194,2
196,4
197,4
200,1
201,4
202,3
203,3
204,3
205,2
207,1
210,1
211,1
212,1
214,2
217,1
218,1
219,1
220,1
221,1
223,1
224,3
227,1
228,1
231,3
232,1
234,2
237,1
241,2
270,1
