age,date,tick,count
18_64,2021-03-06,96,456379
18_64,2021-03-13,103,104910
18_64,2021-03-20,110,52579
18_64,2021-03-27,117,57684
18_64,2021-04-03,124,114498
18_64,2021-04-10,131,175924
18_64,2021-04-17,138,241481
18_64,2021-04-24,145,249154
18_64,2021-05-01,152,248807
18_64,2021-05-08,159,208454
18_64,2021-05-15,166,204844
18_64,2021-05-22,173,179911
18_64,2021-05-29,180,129074
18_64,2021-06-05,187,71186
18_64,2021-06-12,194,85285
18_64,2021-06-19,201,102995
18_64,2021-06-26,208,48546
18_64,2021-07-03,215,59206
18_64,2021-07-10,222,31981
18_64,2021-07-17,229,36740
18_64,2021-07-24,236,26079
18_64,2021-07-31,243,26078
18_64,2021-08-07,250,33128
18_64,2021-08-14,257,29690
18_64,2021-08-21,264,31982
18_64,2021-08-28,271,37885
18_64,2021-09-04,278,41497
18_64,2021-09-11,285,37885
18_64,2021-09-18,292,53303
18_64,2021-09-25,299,54450
18_64,2021-10-02,306,30835
18_64,2021-10-09,313,41497
18_64,2021-10-16,320,30836
18_64,2021-10-23,327,36740
18_64,2021-10-30,334,29690
18_64,2021-11-06,341,24932
18_64,2021-11-13,348,24933
18_64,2021-11-20,355,30837
18_64,2021-11-27,362,9514
18_64,2021-12-04,369,26079
18_64,2021-12-11,376,20175
18_64,2021-12-18,383,15418
18_64,2021-12-25,390,16564
18_64,2022-01-01,397,10661
18_64,2022-01-08,404,15418
18_64,2022-01-15,411,10660
18_64,2022-01-22,418,75770
18_64,2022-01-29,425,10662
18_64,2022-02-05,432,10660
18_64,2022-02-12,439,16564
18_64,2022-02-19,446,16563
18_64,2022-02-26,453,10661
18_64,2022-03-05,460,4758
18_64,2022-03-12,467,5903
18_64,2022-03-19,474,4758
18_64,2022-04-02,488,3611
18_64,2022-04-09,495,6077
18_64,2022-04-16,502,7224
18_64,2022-04-23,509,2465
18_64,2022-04-30,516,3612
18_64,2022-05-07,523,7223
18_64,2022-05-14,530,3612
18_64,2022-05-21,537,3611
18_64,2022-05-28,544,1494
5_17,2021-11-06,341,441575
5_17,2021-11-13,348,6637
5_17,2021-11-20,355,2063
5_17,2021-11-27,362,7231
5_17,2021-12-04,369,42792
5_17,2021-12-11,376,55926
5_17,2021-12-18,383,34233
5_17,2021-12-25,390,18444
5_17,2022-01-01,397,15790
5_17,2022-01-08,404,3982
5_17,2022-01-15,411,18445
5_17,2022-01-22,418,31720
5_17,2022-01-29,425,2655
5_17,2022-02-05,432,17117
5_17,2022-02-12,439,19772
5_17,2022-02-19,446,9887
5_17,2022-02-26,453,9885
5_17,2022-03-05,460,1328
5_17,2022-03-12,467,8558
5_17,2022-03-19,474,1327
5_17,2022-03-26,481,1328
5_17,2022-04-02,488,6638
5_17,2022-04-23,509,1328
5_17,2022-04-30,516,1328
5_17,2022-05-07,523,2654
5_17,2022-05-14,530,1328
5_17,2022-05-21,537,1328
5_17,2022-05-28,544,1328
5_17,2022-06-04,551,7231
5_17,2022-06-11,558,1326
65_130,2021-03-06,96,293330
65_130,2021-03-13,103,72187
65_130,2021-03-20,110,59582
65_130,2021-03-27,117,72187
65_130,2021-04-03,124,114582
65_130,2021-04-10,131,79061
65_130,2021-04-17,138,59583
65_130,2021-04-24,145,40104
65_130,2021-05-01,152,28645
65_130,2021-05-08,159,21771
65_130,2021-05-15,166,19479
65_130,2021-05-22,173,14895
65_130,2021-05-29,180,12604
65_130,2021-06-05,187,11459
65_130,2021-06-12,194,9166
65_130,2021-06-19,201,9167
65_130,2021-06-26,208,4583
65_130,2021-07-03,215,5729
65_130,2021-07-10,222,3438
65_130,2021-07-17,229,4583
65_130,2021-07-24,236,3437
65_130,2021-07-31,243,3438
65_130,2021-08-07,250,2292
65_130,2021-08-14,257,4583
65_130,2021-08-21,264,4583
65_130,2021-08-28,271,3438
65_130,2021-09-04,278,5729
65_130,2021-09-11,285,3437
65_130,2021-09-18,292,5729
65_130,2021-09-25,299,4583
65_130,2021-10-02,306,4584
65_130,2021-10-09,313,5729
65_130,2021-10-16,320,4583
65_130,2021-10-23,327,4583
65_130,2021-10-30,334,4584
65_130,2021-11-06,341,5729
65_130,2021-11-13,348,4583
65_130,2021-11-20,355,4583
65_130,2021-11-27,362,2292
65_130,2021-12-04,369,3437
65_130,2021-12-11,376,2292
65_130,2021-12-18,383,3438
65_130,2021-12-25,390,1145
65_130,2022-01-01,397,1146
65_130,2022-01-08,404,2292
65_130,2022-01-15,411,1146
65_130,2022-01-22,418,5729
65_130,2022-01-29,425,1146
65_130,2022-02-05,432,1145
65_130,2022-02-12,439,2292
65_130,2022-02-19,446,1146
65_130,2022-02-26,453,1146
65_130,2022-03-12,467,1145
65_130,2022-03-26,481,1146
65_130,2022-04-02,488,1146
65_130,2022-04-09,495,5729
65_130,2022-04-16,502,4584
65_130,2022-04-23,509,3437
65_130,2022-04-30,516,3437
65_130,2022-05-07,523,2292
65_130,2022-05-14,530,3438
65_130,2022-05-21,537,3437
65_130,2022-05-28,544,2292
65_130,2022-06-04,551,1145
65_130,2022-06-11,558,2292
